host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
11435370,52.36653,4.88501,250,2,15,5.23,1,44
193907625,52.36886,4.8641,150,4,57,5.23,1,0
8321212,52.37604,4.90167,120,2,71,5.23,2,142
48790899,52.37229,4.94877,90,2,215,5.23,1,64
237857503,52.37621,4.89419,110,1,16,5.22,1,141
182576146,52.35558,4.89025,159,1,61,5.21,3,13
130579669,52.37838,4.85734,60,3,122,5.21,2,0
199719632,52.37223,4.86035,45,1,53,5.2,3,8
142007544,52.35004,4.89388,85,2,9,5.19,2,118
173784342,52.37041,4.93005,70,2,76,5.19,2,19
128964273,52.37436,4.88603,140,3,123,5.19,1,216
176189500,52.35907,4.89903,110,2,69,5.18,2,110
53323264,52.3757,4.83737,75,2,206,5.18,1,22
29647728,52.3843,4.90769,160,2,258,5.18,1,26
10357130,52.37447,4.8845,90,4,259,5.18,2,11
32856216,52.35481,4.92477,95,3,74,5.17,2,56
9489931,52.36136,4.87616,140,2,220,5.17,3,12
8378048,52.34724,4.88915,80,1,356,5.17,1,178
180189869,52.36819,4.88994,75,2,65,5.16,2,49
53692197,52.36534,4.88017,81,1,141,5.16,2,301
228208519,52.37685,4.90604,180,1,23,5.15,2,288
4366178,52.361,4.88973,80,1,78,5.15,2,283
126900541,52.38459,4.85602,249,2,6,5.14,2,12
7270724,52.37752,4.81973,65,1,108,5.13,3,63
6461575,52.36335,4.88505,145,1,290,5.13,1,241
57989665,52.3855,4.86437,50,1,201,5.12,2,205
45274296,52.35743,4.85011,75,3,223,5.12,1,33
8873574,52.37835,4.89065,95,2,349,5.12,2,26
206197883,52.37257,4.87314,170,2,38,5.11,1,128
7725750,52.37336,4.87757,100,2,196,5.11,1,194
10329176,52.37163,4.87389,90,1,17,5.1,1,59
4286813,52.41315,4.88648,76,2,50,5.1,1,249
199719632,52.37433,4.86103,45,1,52,5.1,3,8
6109539,52.39118,4.93568,95,3,60,5.1,1,125
44362039,52.36315,4.9009,140,2,75,5.1,2,258
8849348,52.37208,4.89724,110,2,105,5.1,2,90
127948209,52.36433,4.88414,79,2,124,5.1,2,297
67005410,52.37356,4.89985,140,1,175,5.1,15,236
4456680,52.36763,4.87609,75,1,19,5.09,1,10
7384818,52.35781,4.90352,165,2,149,5.08,1,217
66470589,52.36376,4.98597,150,1,178,5.08,1,348
7134355,52.36086,4.92837,49,1,24,5.07,2,11
73702115,52.39289,4.92675,75,2,138,5.07,1,17
16849504,52.38437,4.78884,99,1,39,5.04,3,273
165814590,52.3693,4.88172,100,2,80,5.03,3,76
97204642,52.38081,4.88865,149,3,154,5.03,2,238
53692197,52.36688,4.87866,86,1,198,5.03,2,345
95859629,52.36602,4.86459,175,2,104,5.02,1,234
15996910,52.37143,4.89305,75,1,146,5.02,4,7
19572819,52.36389,4.83953,65,2,125,5.01,1,36
39137655,52.37109,4.86048,100,2,224,5.01,1,0
226229055,52.35483,4.90064,200,7,5,5,1,0
252080785,52.3695,4.88091,225,2,5,5,1,4
251974837,52.38172,4.78939,42,2,5,5,1,128
252745497,52.36738,4.89367,250,2,5,5,1,226
10721494,52.38939,4.87917,184,2,5,5,1,335
252193330,52.35048,4.78877,85,1,5,5,1,348
19974817,52.37425,4.89971,120,2,5,5,2,5
102481603,52.38559,4.86863,80,2,5,5,2,35
7857112,52.42082,4.89449,156,1,5,5,2,131
534850,52.35207,4.78737,99,1,5,5,3,276
249012637,52.38465,4.83749,57,1,5,5,4,18
3040855,52.36385,4.93225,99,1,5,5,4,40
84453740,52.34958,4.89158,79,2,5,5,23,0
42104729,52.36767,4.88217,149,2,6,5,1,7
236941574,52.37936,4.88191,220,2,7,5,1,0
42902272,52.33652,4.87243,47,1,16,5,1,50
50559153,52.33801,4.79581,89,2,36,5,1,233
76572471,52.37198,4.85376,60,3,105,5,3,12
16195941,52.3319,4.85883,95,2,181,5,2,85
144672905,52.3692,4.89839,110,3,98,4.99,1,1
26485446,52.33925,4.8952,40,1,113,4.99,1,6
2594559,52.39139,4.88874,110,2,157,4.99,1,290
10357130,52.37276,4.8846,73,4,245,4.99,2,18
214292404,52.3962,4.91686,99,1,39,4.98,1,22
141883272,52.36213,4.85208,50,2,40,4.98,2,3
15996910,52.37045,4.9106,74,1,95,4.98,4,14
20557758,52.34575,5.00683,75,2,113,4.98,2,175
58710677,52.37846,4.84824,160,1,189,4.97,1,225
9266296,52.36995,4.94224,90,3,311,4.97,1,53
5069954,52.36069,4.88991,185,2,369,4.97,1,67
210961427,52.37554,4.89285,100,2,40,4.96,1,24
32652414,52.37922,4.89399,249,1,44,4.96,1,22
182576146,52.35609,4.89037,99,1,58,4.96,3,9
6175986,52.35403,4.89941,60,2,66,4.96,1,99
4494136,52.37857,4.9277,140,2,364,4.96,1,4
143724137,52.36845,4.86836,120,3,105,4.95,1,4
97085913,52.37354,4.89849,226,3,154,4.95,1,151
4684764,52.37589,4.87416,80,3,13,4.94,2,36
